DOB,Age,Time_treatment,Phase,Hours_from_Start,Timepoint,Replicate,Initial Abs.,Final Abs.,Change in Abs. ,Corrected_Change
3/22/19,7,Light,Resting,39,13,1,0.7635,0.9339,0.1704,111.95
3/22/19,7,Light,Resting,39,13,2,0.82365,0.9836,0.15995,101.5
3/22/19,7,Light,Resting,39,13,3,0.9411,1.3636,0.42255,364.1
3/22/19,7,Light,Resting,39,13,4,0.8159,0.9429,0.12695,68.5
3/22/19,7,Dark,Active,42,14,1,0.6984,0.9638,0.2654,206.95
3/22/19,7,Dark,Active,42,14,2,0.8392,1.0515,0.21225,153.8
3/22/19,7,Dark,Active,42,14,3,1.9741,0.937,-1.03715,
3/22/19,7,Dark,Active,42,14,4,1.07725,1.5613,0.48405,425.6
3/22/19,7,Dark,Active,45,15,1,0.8373,0.8147,-0.02265,
3/22/19,7,Dark,Active,45,15,2,0.8157,1.1237,0.308,249.55
3/22/19,7,Dark,Active,45,15,3,0.6854,1.0483,0.36285,304.4
3/22/19,7,Dark,Active,45,15,4,0.8304,1.1105,0.2801,221.65
3/22/19,7,Dark,Active,48,16,1,0.8136,1.2873,0.47365,415.2
3/22/19,7,Dark,Active,48,16,2,0.9336,1.4279,0.4943,435.85
3/22/19,7,Dark,Active,48,16,3,0.77225,1.0267,0.25445,196
3/22/19,7,Dark,Active,48,16,4,0.8503,0.76335,-0.08695,
3/22/19,8,Light,Resting,51,17,1,0.8822,1.1662,0.28395,225.5
3/22/19,8,Light,Resting,51,17,2,1.0011,1.1058,0.10465,46.2
3/22/19,8,Light,Resting,51,17,3,0.93765,1.0608,0.12315,64.7
3/22/19,8,Light,Resting,51,17,4,1.21645,1.1798,-0.0367,
3/22/19,8,Light,Resting,54,18,1,0.9097,1.27445,0.36475,306.3
3/22/19,8,Light,Resting,54,18,2,1.04305,1.24235,0.1993,140.85
3/22/19,8,Light,Resting,54,18,3,0.91725,1.1782,0.26095,202.5
3/22/19,8,Light,Resting,54,18,4,0.9872,1.23785,0.25065,192.2
3/22/19,8,Light,Resting,57,19,1,0.9183,1.1291,0.2108,152.35
3/22/19,8,Light,Resting,57,19,2,0.9917,1.0165,0.0248,
3/22/19,8,Light,Resting,57,19,3,0.80265,0.93235,0.1297,71.25
3/22/19,8,Light,Resting,57,19,4,1.12225,1.27075,0.1485,90.05
3/22/19,8,Light,Resting,60,20,1,0.75585,1.1979,0.44205,378.05
3/22/19,8,Light,Resting,60,20,2,1.08625,1.6398,0.55355,489.55
3/22/19,8,Light,Resting,60,20,3,0.9297,1.1055,0.1758,111.8
3/22/19,8,Light,Resting,60,20,4,0.8633,1.00835,0.14505,81.05
3/22/19,8,Light,Resting,63,21,1,0.6937,0.85085,0.15715,93.15
3/22/19,8,Light,Resting,63,21,2,0.86285,0.9095,0.04665,
3/22/19,8,Light,Resting,63,21,3,0.9441,1.08635,0.14225,78.25
3/22/19,8,Light,Resting,63,21,4,0.8005,0.95545,0.15495,90.95
3/22/19,8,Dark,Active,66,22,1,0.6961,1.1418,0.4457,381.7
3/22/19,8,Dark,Active,66,22,2,0.61335,0.9375,0.32415,260.15
3/22/19,8,Dark,Active,66,22,3,0.8158,1.05145,0.23565,171.65
3/22/19,8,Dark,Active,66,22,4,0.7866,1.0569,0.2703,206.3
3/22/19,8,Dark,Active,69,23,1,0.83555,1.20995,0.3744,310.4
3/22/19,8,Dark,Active,69,23,2,0.71765,1.07755,0.3599,295.9
3/22/19,8,Dark,Active,69,23,3,0.82275,0.89605,0.0733,9.3
3/22/19,8,Dark,Active,69,23,4,0.8595,1.2474,0.3879,323.9
3/22/19,8,Dark,Active,72,24,1,0.8626,1.303,0.4404,376.4
3/22/19,8,Dark,Active,72,24,2,0.70895,0.7822,0.07325,9.25
3/22/19,8,Dark,Active,72,24,3,0.87415,0.96775,0.0936,29.6
3/22/19,8,Dark,Active,72,24,4,0.7792,1.02475,0.24555,181.55
3/22/19,9,Dark,Resting,75,25,1,0.7395,0.733,-0.0065,
3/22/19,9,Dark,Resting,75,25,2,0.63145,0.58505,-0.0464,
3/22/19,9,Dark,Resting,75,25,3,1.2839,0.9752,-0.3087,
3/22/19,9,Dark,Resting,75,25,4,1.13685,1.05565,-0.0812,
3/22/19,9,Dark,Resting,78,26,1,0.92425,1.42705,0.5028,438.8
3/22/19,9,Dark,Resting,78,26,2,0.89055,0.98195,0.0914,27.4
3/22/19,9,Dark,Resting,78,26,3,0.82915,0.9971,0.16795,103.95
3/22/19,9,Dark,Resting,78,26,4,1.0244,0.7464,-0.278,
3/22/19,9,Dark,Resting,81,27,1,0.58785,0.835,0.24715,177.2
3/22/19,9,Dark,Resting,81,27,2,0.79535,1.1764,0.38105,311.1
3/22/19,9,Dark,Resting,81,27,3,0.668,0.95485,0.28685,216.9
3/22/19,9,Dark,Resting,81,27,4,0.8726,1.2253,0.3527,282.75
3/22/19,9,Dark,Resting,84,28,1,0.993,1.24925,0.25625,186.3
3/22/19,9,Dark,Resting,84,28,2,0.8533,1.36815,0.51485,444.9
3/22/19,9,Dark,Resting,84,28,3,0.9155,1.3087,0.3932,323.25
3/22/19,9,Dark,Resting,84,28,4,1.14875,1.45475,0.306,236.05
3/22/19,9,Dark,Resting,87,29,1,0.9395,0.9271,-0.0124,
3/22/19,9,Dark,Resting,87,29,2,1.0092,1.32825,0.31905,249.1
3/22/19,9,Dark,Resting,87,29,3,0.73735,1.3451,0.60775,537.8
3/22/19,9,Dark,Resting,87,29,4,0.8745,1.20225,0.32775,257.8
3/22/19,9,Dark,Active,90,30,1,0.77335,1.1228,0.34945,279.5
3/22/19,9,Dark,Active,90,30,2,0.9639,1.4458,0.4819,411.95
3/22/19,9,Dark,Active,90,30,3,0.91145,1.2003,0.28885,218.9
3/22/19,9,Dark,Active,90,30,4,0.9958,1.38275,0.38695,317
3/22/19,9,Dark,Active,93,31,1,0.75935,0.86215,0.1028,32.85
3/22/19,9,Dark,Active,93,31,2,0.66555,0.9518,0.28625,216.3
3/22/19,9,Dark,Active,93,31,3,1.0156,1.32825,0.31265,242.7
3/22/19,9,Dark,Active,93,31,4,0.74405,0.94285,0.1988,128.85
3/22/19,9,Dark,Active,96,32,1,0.8512,1.2247,0.3735,303.55
3/22/19,9,Dark,Active,96,32,2,0.6264,1.02245,0.39605,326.1
3/22/19,9,Dark,Active,96,32,3,0.76915,1.4421,0.67295,603
3/22/19,9,Dark,Active,96,32,4,0.8415,1.38435,0.54285,472.9
